한자,음,뜻
價,값,가
加,더할,가
可,옳을,가
角,뿔,각
甘,달,감
改,고칠,개
個,낱,개
客,손님,객
決,결단할,결
結,맺을,결
輕,가벼울,경
敬,공경할,경
季,철,계
固,굳을,고
考,상고할,고
告,알릴,고
曲,굽을,곡
公,공변될,공
課,매길,과
過,지날,과
關,관계할,관
觀,볼,관 
廣,넓을,광
橋,다리,교
求,구할,구
君,임금,군
貴,귀할,귀
極,다할,극
給,줄,급
期,기약할,기
技,재주,기
基,터,기
吉,길할,길
念,생각,념
能,능할,능
談,말씀,담
待,기다릴,대
德,덕,덕
都,도읍,도
島,섬,도
到,이를,도
動,움직일,동
落,떨어질,락
冷,찰,랭
兩,두,량
良,어질,량
量,헤아릴,량
歷,지낼,력
領,옷깃,령
令,하여금,령
例,법식,례
勞,수고로울,로
料,헤아릴,료
流,흐를,류
亡,망할,망
望,바랄,망
買,살,매 
妹,아랫누이,매
賣,팔,매 
武,굳셀,무
味,맛,미
未,아닐,미
法,법,법
兵,군사,병
報,갚을,보 
福,복,복 
奉,받들,봉
富,부자,부
備,갖출,비
比,견줄,비
貧,가난할,빈
氷,얼음,빙
仕,벼슬할,사
思,생각,사
師,스승,사 
史,역사,사
使,하여금,사
産,낳을,산 
算,셈,산
賞,상줄,상 
相,서로,상
商,장사,상
常,항상,상
序,차례,서
船,배,선
仙,신선,선
善,착할,선
雪,눈,설 
說,말씀,설
星,별,성
城,재,성
誠,정성,성 
洗,씻을,세
歲,해,세
送,보낼,송 
數,셈,수 
守,지킬,수
宿,잠잘,숙
順,순할,순 
視,볼,시 
試,시험,시 
識,알,식 
臣,신하,신
實,열매,실 
氏,성씨,씨
兒,아이,아 
惡,악할,악 
案,책상,안
暗,어두울,암
約,맺을,약 
養,기를,양
漁,고기잡을,어
億,억,억
如,같을,여
餘,남을,여 
然,그럴,연
熱,더울,열 
葉,잎,엽
屋,집,옥
溫,따뜻할,온
完,완전할,완
要,구할,요
雨,비,우
雲,구름,운 
園,동산,원 
願,원할,원 
由,말미암을,유
義,옳을,의 
醫,의원,의 
以,써,이
因,인할,인
姊,맏누이,자
再,두,재
材,재목,재
財,재물,재 
爭,다툴,쟁 
低,낮을,저 
貯,쌓을,저
的,과녁,적
赤,붉을,적
典,법,전
戰,싸움,전 
傳,전할,전 
展,펼,전
店,가게,점
庭,뜰,정
情,뜻,정
定,정할,정
調,고를,조 
助,도울,조
鳥,새,조 
早,이를,조
存,있을,존
卒,군사,졸
終,마칠,종 
種,씨,종 
罪,허물,죄 
注,물댈,주
止,그칠,지
志,뜻,지
知,알,지
至,이를,지
紙,종이,지
支,지탱할,지
進,나아갈,진 
眞,참,진 
質,바탕,질 
集,모일,집
次,버금,차 
參,참여할,참
責,꾸짖을,책
鐵,쇠,철
初,처음,초
祝,빌,축
充,채울,충
忠,충성,충
致,이를,치
他,다를,타
打,칠,타
宅,집,택
統,거느릴,통
特,특별할,특
敗,패할,패
必,반드시,필
河,물,하
寒,찰,한
害,해칠,해
香,향기,향
許,허락할,허
現,나타날,현
好,좋을,호
湖,호수,호
畵,그림,화
化,될,화
患,근심,환
回,돌,회
效,본받을,효
訓,가르칠,훈
凶,흉할,흉
黑,검을,흑
