한자,음,뜻
各,각각,각
感,느낄,감
强,강할,강
開,열,개
去,갈,거
犬,개,견
見,볼,견
京,서울,경
計,셀,계
界,지경,계
苦,괴로울,고
高,높을,고
功,공,공
共,함께,공
科,과목,과
果,과실,과
光,빛,광
交,사귈,교
郡,고을,군
近,가까울,근
根,뿌리,근
急,급할,급
多,많을,다
短,짧을,단
當,마땅할,당
堂,집,당
對,대답할,대
圖,그림,도
度,법도,도
刀,칼,도
讀,읽을,독
冬,겨울,동
童,아이,동
頭,머리,두
等,무리,등
樂,즐거울,락
禮,예도,례
路,길,로
綠,푸를,록
理,다스릴,리
李,오얏,리
利,이로울,리
命,목숨,명
明,밝을,명
毛,털,모
無,없을,무
聞,들을,문
米,쌀,미
美,아름다울,미
朴,순박할,박
反,돌이킬,반
半,절반,반
發,필,발
放,놓을,방
番,차례,번
別,다를,별
病,병,병
步,걸음,보
服,옷,복
部,거느릴,부
死,죽을,사
書,글,서
席,자리,석
線,줄,선
省,살필,성
性,성품,성
成,이룰,성
消,사라질,소
速,빠를,속
孫,손자,손
樹,나무,수
首,머리,수
習,익힐,습
勝,이길,승
詩,글,시
示,보일,시
始,처음,시
式,법,식
神,귀신,신
身,몸,신
信,믿을,신
新,새로울,신
失,잃을,실
愛,사랑,애
野,들,야
夜,밤,야
藥,약,약
弱,약할,약
陽,볕,양
洋,큰바다,양
魚,물고기,어
言,말씀,언
業,일,업
永,길,영
英,꽃부리,영
勇,날쌜,용
用,쓸,용
友,벗,우
運,움직일,운
遠,멀,원
原,언덕,원
元,으뜸,원
油,기름,유
肉,고기,육
銀,은,은
飮,마실,음
音,소리,음
意,뜻,의
者,놈,자
昨,어제,작
作,지을,작
章,글,장
在,있을,재
才,재주,재
田,밭,전
題,제목,제
第,차례,제
朝,아침,조
族,겨레,족
晝,낮,주
竹,대,죽
重,무거울,중
直,곧을,직
窓,창문,창
淸,맑을,청
體,몸,체
村,마을,촌
秋,가을,추
春,봄,춘
親,친할,친
太,클,태
通,통할,통
貝,조개,패
便,편할,편
表,겉,표
品,물건,품
風,바람,풍
夏,여름,하
行,다닐,행
幸,다행,행
血,피,혈
形,모양,형
號,이름,호
花,꽃,화
話,말씀,화
和,화할,화
活,살,활
黃,누를,황
會,모일,회
後,뒤,후
