한자,뜻,음
價,값,가
可,옳을,가
感,느낄,감
開,열,개
客,손님,객
結,맺을,결
敬,공경,경
固,굳을,고
功,공,공
空,빌,공
課,과정,과
官,벼슬,관
觀,볼,관
廣,넓을,광
敎,가르칠,교
郡,고을,군
近,가까울,근
期,기약할,기
吉,길할,길
念,생각,념
達,통달할,달
談,말씀,담
對,대할,대
德,큰,덕
到,이를,도
動,움직일,동
洞,골,동
登,오를,등
落,떨어질,락
旅,나그네,려
禮,예도,례
路,길,로
論,논할,론
流,흐를,류
律,법칙,률
理,다스릴,리
末,끝,말
亡,망할,망
問,물을,문
未,아닐,미
發,필,발
別,나눌,별
報,갚을,보
福,복,복
婦,며느리,부
富,부자,부
復,회복할,부
備,갖출,비
仕,섬길,사
思,생각,사
産,낳을,산
算,셈,산
想,생각,상
相,서로,상
賞,상,상
席,자리,석
船,배,선
選,가릴,선
鮮,고울,선
設,베풀,설
說,말씀,설
雪,눈,설
姓,성,성
星,별,성
省,살필,성
誠,정성,성
歲,해,세
洗,씻을,세
孫,손자,손
受,받을,수
守,지킬,수
收,거둘,수
數,셀,수
首,머리,수
順,순할,순
是,옳을,시
式,법식,식
植,심을,식
陽,볕,양
語,말씀,어
永,길,영
英,꽃부리,영
完,완전할,완
右,오른,우
運,운수,운
園,동산,원
油,기름,유
因,인할,인
應,응할,응
義,옳을,의
議,의논할,의
移,옮길,이
益,더할,익
引,끌,인
場,마당,장
再,다시,재
在,있을,재
才,재주,재
的,과녁,적
傳,전할,전
節,마디,절
絶,끊을,절
接,이을,접
精,정할,정
題,제목,제
調,고를,조
宗,마루,종
左,왼,좌
重,무거울,중
志,뜻,지
知,알,지
至,이를,지
進,나아갈,진
察,살필,찰
參,참여할,참
冊,책,책
淸,맑을,청
體,몸,체
寸,마디,촌
視,볼,시
忠,충성,충
聽,들을,청
取,가질,취
治,다스릴,치
致,이를,치
親,친할,친
宅,집,택
統,거느릴,통
通,통할,통
特,특별할,특
波,물결,파
片,조각,편
豊,풍년,풍
筆,붓,필
漢,한나라,한
韓,나라,한
解,풀,해
向,향할,향
鄕,시골,향
現,나타날,현
惠,은혜,혜
號,이름,호
黃,누를,황
會,모일,회
孝,효도,효
效,본받을,효
訓,가르칠,훈
休,쉴,휴
興,일어날,흥
希,바랄,희
